City,Country,Year,Ds,Event,discipline,category,rank,firstname,lastname,country,yob,Qualification score,Qualification rank,Semi-Final score,Semi-Final rank,1/8 score,1/4 score,1/2 score,Small Final score,Final score,Final rank
Salt Lake City,USA,2021,BS,WC,boulder,Men,36,Max,Kleesattel,GER,1998,2T5z 11 15,36,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,37,Benjamin,Hanna,USA,1998,2T4z 3 12,37,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,38,Colin,Duffy,USA,2003,2T4z 5 7,38,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,39,Matthew,Cousins,GBR,1989,2T4z 5 12,39,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,40,Oscar,Baudrand,CAN,2005,2T4z 5 20,40,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,41,Nimrod,Marcus,ISR,1999,2T4z 6 9,41,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,42,Charles,Barron,USA,1998,2T4z 7 15,42,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,43,Frederik,Viberg Christiansen,DEN,2001,1T3z 4 10,43,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,44,Palmer,Larsen,USA,1995,1T3z 6 11,44,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,45,Carmel,Raz romeo,ISR,2000,1T2z 4 5,45,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,46,Christopher,Cosser,RSA,2000,1T2z 8 7,46,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,47,Ludovico,Fossali,ITA,1997,1T1z 7 4,47,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,48,Ram,Levin,ISR,1998,0T3z 0 4,48,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,49,Stefan,Fellner,USA,2001,0T3z 0 13,49,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,50,Theis Lindegren,Elfenbein,DEN,1997,0T2z 0 8,50,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,51,Carlos,Granja,ECU,1999,0T1z 0 3,51,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,52,Nickolaie,RIVADENEIRA ,ECU,2001,0T1z 0 8,52,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,53,Paolo ,Rivadeneira,ECU,2004,0T1z 0 16,53,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,54,Tomas,Chicaiza,ECU,2005,0T0z 0 0,54,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,,Adam,Ondra,CZE,1993,DNS,,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,1,Natalia,Grossman,USA,2001,5T5z 7 6,3,2T3z 8 3,6,,,,,4T4z 4 4,1
Salt Lake City,USA,2021,BS,WC,boulder,Women,2,Janja,Garnbret,SLO,1999,5T5z 6 5,1,3T4z 5 8,1,,,,,4T4z 6 6,2
Salt Lake City,USA,2021,BS,WC,boulder,Women,3,Brooke,Raboutou,USA,2001,4T4z 6 4,8,2T3z 5 6,4,,,,,3T4z 5 8,3
Salt Lake City,USA,2021,BS,WC,boulder,Women,4,Oriane,Bertone,FRA,2005,3T5z 6 12,17,2T4z 8 6,3,,,,,3T3z 9 5,4
