discipline;category;rank;firstname;lastname;country;yob;Qualification 1 score;Qualification 1 rank;Qualification 2 score;Qualification 2 rank;Qualification score;Qualification rank;Semi-final score;Semi-final rank;1/8 score;1/4 score;1/2 score;Small Final score;Final score;Final rank
lead;Women;58;Aida;Torres Illamola;ESP;2002;21+;61;24+;40;50.62;58;;;;;;;;
lead;Women;58;Lucie;Vaillant Bultel;FRA;2001;21+;61;24+;40;50.62;58;;;;;;;;
lead;Women;60;Kylie;Cullen;USA;2004;29+;42;18;55;52.31;60;;;;;;;;
lead;Women;61;Jennifer;Wood;GBR;1994;21;65;23;43;53.87;61;;;;;;;;
lead;Women;62;Luisa;Flohé;GER;2001;23+;58;18+;47;54.35;62;;;;;;;;
lead;Women;63;Margarita;Agambayeva;KAZ;1999;21;65;19;44;55.11;63;;;;;;;;
lead;Women;64;Naama;Yohai;ISR;2000;21+;61;18+;47;56.18;64;;;;;;;;
lead;Women;65;SUKMA;LINTANG CAHYANI;INA;2004;26;54;18;55;57.89;65;;;;;;;;
lead;Women;66;Thea;Cameron;GBR;2000;21;65;18+;47;58.38;66;;;;;;;;
lead;Women;67;Joanna;Neame;GBR;1999;21;65;18;55;64.43;67;;;;;;;;
lead;Women;68;HONGCHUN;XIANG;CHN;1998;21+;61;17;71;66.61;68;;;;;;;;
lead;Women;69;ZIHAN;HUANG;CHN;2001;20;74;18;55;67.46;69;;;;;;;;
lead;Women;70;Emi;Takashiba;CAN;2004;21;65;17+;69;68.49;70;;;;;;;;
lead;Women;71;NUR;KHALISHAH;INA;2004;21;65;16;73;70.44;71;;;;;;;;
lead;Women;72;YAJUN;HUANG;CHN;2005;20+;71;17+;69;70.74;72;;;;;;;;
lead;Women;73;Elizabeth;Sepulveda;PUR;2002;20+;71;16+;72;72.0;73;;;;;;;;
lead;Women;74;Bianca;Magalhaes de Castro ;BRA;1988;20+;71;15+;75;73.73;74;;;;;;;;
lead;Women;75;Emily;Scott;AUS;2006;14+;77;16;73;75.23;75;;;;;;;;
lead;Women;76;FADYA DEVI;MONICA;INA;2005;13+;78;15+;75;76.74;76;;;;;;;;
lead;Women;77;NUR DIATUL;JANNAH;INA;2004;17;76;12+;78;77.24;77;;;;;;;;
lead;Women;78;María Fernanda;Hidalgo Amezquita;MEX;2001;19;75;9+;80;77.7;78;;;;;;;;
lead;Women;79;Phoebe;Kenderdine;NZL;2003;10+;80;13+;77;78.49;79;;;;;;;;
lead;Women;80;Wai-mui;LING;HKG;2001;12+;79;12+;78;78.75;80;;;;;;;;
lead;Women;81;Alyssa;Meyer;RSA;2002;9+;81;9+;80;80.75;81;;;;;;;;
lead;Women;;Prateeksha;Arun;IND;1998;DNS;;DNS;;DNS;;;;;;;;;
lead;Women;;Mariana;Hanggi Correia;BRA;2006;DNS;;DNS;;DNS;;;;;;;;;
speed;Men;1;JINBAO;LONG;CHN;2000;;;;;5.21;4;;;5.33;5.07;5.05;;5.11;1
speed;Men;2;Erik;Noya Cardona;ESP;1994;;;;;5.492;10;;;5.92;5.67;5.58;;5.49;2
speed;Men;3;ASPAR;ASPAR;INA;1992;;;;;5.494;11;;;5.57;5.50;6.46;5.53;;3
speed;Men;4;VEDDRIQ;LEONARDO;INA;1997;;;;;5.34;8;;;WILDCARD;5.31;FALL;6.59;;4
speed;Men;5;LIANG;ZHANG;CHN;2003;;;;;5.15;2;;;5.23;FALL;;;;5
speed;Men;6;LONG;CAO;CHN;2000;;;;;5.16;3;;;6.12;FALL;;;;6
speed;Men;7;JIANGUO;LONG;CHN;2003;;;;;5.22;5;;;5.32;FALL;;;;7
speed;Men;8;ALFIAN;MUHAMMAD FAJRI;INA;1997;;;;;5.611;16;;;5.65;5.36;;;;8
speed;Men;9;KIROMAL;KATIBIN;INA;2000;;;;;5.00 (WR) (AsR);1;;;5.89;;;;;9
speed;Men;10;Reza;Alipour Shenazandifard;IRI;1994;;;;;5.28;6;;;5.61;;;;;10
speed;Men;11;John;Brosler;USA;1997;;;;;5.31;7;;;7.27;;;;;11
speed;Men;12;ZAENAL;ARIPIN;INA;1992;;;;;5.45;9;;;FALSE START;;;;;12
speed;Men;13;Amir;Maimuratov;KAZ;1995;;;;;5.50;12;;;5.54;;;;;13
speed;Men;14;Noah;Bratschi;USA;2000;;;;;5.57;13;;;5.64;;;;;14
speed;Men;15;Ludovico;Fossali;ITA;1997;;;;;5.583;14;;;FALL;;;;;15
speed;Men;16;Ryo;OMASA;JPN;2002;;;;;5.585;15;;;5.80;;;;;16
speed;Men;17;Rishat;Khaibullin;KAZ;1995;;;;;5.619;17;;;;;;;;
speed;Men;18;Sebastian;Lucke;GER;2002;;;;;5.64;18;;;;;;;;
speed;Men;19;Euncheol;SHIN;KOR;1999;;;;;5.66;19;;;;;;;;
speed;Men;20;Michael;Finn-Henry;CAN;1999;;;;;5.69;20;;;;;;;;
speed;Men;21;Yongjun;JUNG;KOR;2003;;;;;5.71;21;;;;;;;;
