discipline;category;rank;firstname;lastname;country;yob;Qualification 1 score;Qualification 1 rank;Qualification 2 score;Qualification 2 rank;Qualification score;Qualification rank;Semi-Final score;Semi-Final rank;Final score;Final rank
boulder;Men;5;Simon;Lorenzi;BEL;1997;;;;;2T5z 6 7;17;3T3z 8 5;6;1T1z 10 10;5
boulder;Men;6;Nathaniel;Coleman;USA;1997;;;;;2T5z 2 10;19;3T4z 5 9;4;0T1z 0 2;6
boulder;Men;7;Aleksey;Rubtsov;RUS;1988;;;;;3T5z 9 7;11;3T3z 11 9;7;;
boulder;Men;8;Jongwon;CHON;KOR;1996;;;;;5T5z 17 12;6;2T4z 2 5;8;;
boulder;Men;9;Colin;Duffy;USA;2003;;;;;2T5z 5 8;15;2T4z 4 5;9;;
boulder;Men;10;Rei;Sugimoto;JPN;1991;;;;;4T5z 18 17;9;2T4z 5 4;10;;
boulder;Men;11;Yannick;Flohé;GER;1999;;;;;3T4z 8 11;17;2T4z 5 6;11;;
boulder;Men;12;Alexander;Megos;GER;1993;;;;;2T5z 6 8;19;2T4z 6 9;12;;
boulder;Men;13;Kai;Harada;JPN;1999;;;;;4T5z 13 11;7;2T3z 2 5;13;;
boulder;Men;14;Jakob;Schubert;AUT;1990;;;;;3T5z 6 6;1;2T3z 5 6;14;;
boulder;Men;15;Sohta;Amagasa;JPN;2000;;;;;3T5z 6 7;3;1T4z 1 6;15;;
boulder;Men;16;Tomoaki;Takata;JPN;1995;;;;;3T5z 17 17;15;1T4z 2 12;16;;
boulder;Men;17;Anze;Peharc;SLO;1997;;;;;3T5z 13 11;13;1T4z 4 13;17;;
boulder;Men;18;Mickael;Mawem;FRA;1990;;;;;2T5z 3 5;7;1T4z 5 6;18;;
boulder;Men;19;Jan;Hojer;GER;1992;;;;;2T5z 4 9;11;1T3z 2 4;19;;
boulder;Men;20;Mejdi;Schalck;FRA;2004;;;;;2T5z 4 10;13;1T3z 6 5;20;;
boulder;Men;21;Zan;Lovenjak Sudar;SLO;1998;;;;;2T4z 6 7;21;;;;
boulder;Men;21;Anthony;Gullsten;FIN;1991;;;;;2T5z 4 12;21;;;;
boulder;Men;23;Gregor;Vezonik;SLO;1995;;;;;2T5z 6 8;23;;;;
boulder;Men;23;Matic;Kotar;SLO;1999;;;;;2T4z 8 9;23;;;;
boulder;Men;25;Alex;Khazanov;ISR;1995;;;;;2T5z 7 18;25;;;;
boulder;Men;25;Ao;YURIKUSA;JPN;2002;;;;;1T5z 2 11;25;;;;
boulder;Men;27;Jan-Luca;Posch;AUT;1998;;;;;1T5z 3 10;27;;;;
boulder;Men;27;Edvards;Gruzitis;LAT;2004;;;;;1T5z 2 6;27;;;;
boulder;Men;29;Ross;Fulkerson;USA;2001;;;;;1T5z 6 13;29;;;;
boulder;Men;29;Sergei;Luzhetskii;RUS;1995;;;;;1T5z 3 8;29;;;;
boulder;Men;31;Michael;Piccolruaz;ITA;1995;;;;;1T4z 2 11;31;;;;
boulder;Men;31;Sergei;Skorodumov;RUS;1996;;;;;1T5z 3 11;31;;;;
boulder;Men;33;Elias;Arriagada Krüger;GER;2000;;;;;1T4z 3 11;33;;;;
boulder;Men;33;Vadim;Timonov;RUS;1992;;;;;1T5z 4 15;33;;;;
boulder;Men;35;Keita;Watabe;JPN;1993;;;;;1T4z 5 9;35;;;;
boulder;Men;35;Don;van Laere;NED;1999;;;;;1T4z 1 7;35;;;;
boulder;Men;37;Manuel;Cornu;FRA;1993;;;;;0T5z 0 10;37;;;;
boulder;Men;37;Emilien;Casado;FRA;2001;;;;;1T4z 4 12;37;;;;
boulder;Men;39;Nimrod;Marcus;ISR;1999;;;;;0T4z 0 7;39;;;;
boulder;Men;39;Benjamin;Hanna;USA;1998;;;;;1T4z 6 12;39;;;;
boulder;Men;41;Alberto;Ginés López;ESP;2002;;;;;0T5z 0 9;41;;;;
boulder;Men;41;Mikel Asier;Linacisoro Molina;ESP;2000;;;;;0T4z 0 8;41;;;;
boulder;Men;43;Christoph;Schweiger;GER;2001;;;;;0T5z 0 10;43;;;;
boulder;Men;43;Stephan;Rest;AUT;2001;;;;;0T4z 0 12;43;;;;
boulder;Men;45;Nicolas;Collin;BEL;1998;;;;;0T5z 0 16;45;;;;
boulder;Men;45;Max;Kleesattel;GER;1998;;;;;0T3z 0 3;45;;;;
boulder;Men;47;Sean;Bailey;USA;1996;;;;;0T3z 0 5;47;;;;
boulder;Men;47;Nikolai;Iarilovets;RUS;1999;;;;;0T5z 0 17;47;;;;
boulder;Men;47;Geva;Levin;ISR;2003;;;;;0T5z 0 17;47;;;;
boulder;Men;50;Dylan;Chuat;SUI;2000;;;;;0T3z 0 6;50;;;;
boulder;Men;51;Jernej;Kruder;SLO;1990;;;;;0T4z 0 8;51;;;;
boulder;Men;51;Attila Zsombor;Radics;HUN;2004;;;;;0T3z 0 8;51;;;;
boulder;Men;51;Lawrence;Bogeschdorfer;AUT;2002;;;;;0T3z 0 8;51;;;;
boulder;Men;54;Pietro;Biagini;ITA;2000;;;;;0T4z 0 11;54;;;;
boulder;Men;55;Fredrik;Serlachius;SWE;1998;;;;;0T4z 0 13;55;;;;
boulder;Men;55;Philipp;Geisenhoff;SUI;2000;;;;;0T3z 0 10;55;;;;
boulder;Men;57;Alejandro;Crespo Cobos;ESP;1998;;;;;0T4z 0 15;57;;;;
boulder;Men;57;Leto;Cavé;NED;2002;;;;;0T3z 0 14;57;;;;
boulder;Men;59;Fedir;Samoilov;UKR;1997;;;;;0T4z 0 17;59;;;;
boulder;Men;59;Ádám;Bakurecz;HUN;2001;;;;;0T3z 0 21;59;;;;
boulder;Men;61;Hannes;Puman;SWE;1997;;;;;0T2z 0 5;61;;;;
boulder;Men;61;Ram;Levin;ISR;1998;;;;;0T3z 0 4;61;;;;
boulder;Men;63;Yuval;Shemla;ISR;1998;;;;;0T3z 0 6;63;;;;
boulder;Men;63;Theis Lindegren;Elfenbein;DEN;1997;;;;;0T3z 0 6;63;;;;
boulder;Men;63;Soma;Strommer;HUN;1999;;;;;0T2z 0 6;63;;;;
boulder;Men;63;Rosen;Ruev;BUL;1998;;;;;0T2z 0 6;63;;;;
boulder;Men;67;Ben;Abel;AUS;1998;;;;;0T2z 0 7;67;;;;
boulder;Men;67;Tamás;Farkas;HUN;1994;;;;;0T2z 0 7;67;;;;
boulder;Men;67;Peter;Kuric;SVK;2001;;;;;0T2z 0 7;67;;;;
boulder;Men;67;Leonid;Osadchyi;UKR;2001;;;;;0T3z 0 7;67;;;;
boulder;Men;71;Nimród Sebestyén;Tusnády ;HUN;2004;;;;;0T3z 0 8;71;;;;
boulder;Men;72;Axel;Lindfors;FIN;1991;;;;;0T3z 0 10;72;;;;
boulder;Men;72;Lluc;Macià Llobet;ESP;2004;;;;;0T3z 0 10;72;;;;
boulder;Men;72;Jakub;Zietek;POL;2002;;;;;0T3z 0 10;72;;;;
boulder;Men;75;Albert ;Ilsaas Suthurst;NOR;2001;;;;;0T2z 0 8;75;;;;
boulder;Men;75;Dmitrii;Popov;RUS;1997;;;;;0T2z 0 8;75;;;;
boulder;Men;77;Nils;Favre;SUI;1991;;;;;0T2z 0 9;77;;;;
boulder;Men;77;Vojtech;Trojan;CZE;1999;;;;;0T2z 0 9;77;;;;
boulder;Men;77;Johannes;Egger;ITA;2002;;;;;0T3z 0 11;77;;;;
boulder;Men;80;Mark;Brand;NED;1998;;;;;0T3z 0 14;80;;;;
boulder;Men;81;Roman;Batsenko;UKR;1995;;;;;0T2z 0 10;81;;;;
boulder;Men;81;Marek;Jeliga;CZE;2003;;;;;0T2z 0 5;81;;;;
boulder;Men;83;Frederik;Viberg Christiansen;DEN;2001;;;;;0T2z 0 16;83;;;;
boulder;Men;83;Stepan;Potucek;CZE;2001;;;;;0T2z 0 8;83;;;;
boulder;Men;85;Love  Ymer;Alber;SWE;2000;;;;;0T1z 0 1;85;;;;
boulder;Men;85;Illia;Bakhmet-Smolenskyi;UKR;2005;;;;;0T2z 0 17;85;;;;
boulder;Men;87;Christian;Wagner;CHI;2002;;;;;0T1z 0 1;87;;;;
boulder;Men;87;Vilks;Kaspars;LAT;1991;;;;;0T1z 0 1;87;;;;
boulder;Men;87;Bohdan;Botnar;UKR;2001;;;;;0T1z 0 2;87;;;;
boulder;Men;90;Oscar;Baudrand;CAN;2005;;;;;0T1z 0 3;90;;;;
boulder;Men;90;Emil;Abrahamsson;SWE;1996;;;;;0T1z 0 3;90;;;;
boulder;Men;90;David;Zinsler;AUT;2004;;;;;0T1z 0 3;90;;;;
boulder;Men;90;Fabian;Förander;SWE;1998;;;;;0T1z 0 3;90;;;;
boulder;Men;94;Matei;MUNTEANU;ROU;2001;;;;;0T1z 0 2;94;;;;
boulder;Men;95;Ludovico;Fossali;ITA;1997;;;;;0T1z 0 3;95;;;;
boulder;Men;95;Jakub;Fábric;SVK;2003;;;;;0T1z 0 3;95;;;;
boulder;Men;97;Kevin;Heiniger;SUI;1993;;;;;0T1z 0 4;97;;;;
boulder;Men;97;Simon;Potucek;CZE;2001;;;;;0T1z 0 5;97;;;;
boulder;Men;99;Roman;Sivakov;LTU;2003;;;;;0T1z 0 5;99;;;;
boulder;Men;99;Matthaios;VALSAMIDIS;GRE;1999;;;;;0T1z 0 6;99;;;;
boulder;Men;99;Eneko;Carretero Cruz;ESP;2001;;;;;0T1z 0 5;99;;;;
boulder;Men;102;Bassa;Mawem;FRA;1984;;;;;0T1z 0 8;102;;;;
boulder;Men;103;Daniel;Ungureanu;ROU;1981;;;;;0T0z 0 0;103;;;;
boulder;Men;103;Mikael;Suihkonen;FIN;2003;;;;;0T0z 0 0;103;;;;
boulder;Men;103;Joris;Leipus;LTU;1999;;;;;0T0z 0 0;103;;;;
boulder;Men;103;Alexandru;Olteanu;ROU;2000;;;;;0T0z 0 0;103;;;;
boulder;Men;103;Frede;Rasmussen;DEN;2001;;;;;0T0z 0 0;103;;;;
boulder;Men;103;Samuel;Stefanik;SVK;2003;;;;;0T0z 0 0;103;;;;
boulder;Men;103;Tomas;Plevko;SVK;1999;;;;;0T1z 0 9;103;;;;
boulder;Men;110;Róbert;Sántha;ROU;2000;;;;;0T0z 0 0;110;;;;
boulder;Men;110;Victor;SEBROS;GRE;1995;;;;;0T0z 0 0;110;;;;
boulder;Men;110;Filip;Hromada;SVK;2004;;;;;0T0z 0 0;110;;;;
