discipline;category;rank;firstname;lastname;country;yob;Qualification score;Qualification rank;Semi-final score;Semi-final rank;1/8 score;1/4 score;1/2 score;Small Final score;Final score;Final rank
boulder;Men;17;Gregor;Vezonik;SLO;1995;4T5z 8 5;13;2T3z 7 8;17;;;;;;
boulder;Men;18;Tomoaki;Takata;JPN;1995;4T5z 6 6;11;1T4z 5 11;18;;;;;;
boulder;Men;19;Keita;Dohi;JPN;2000;5T5z 8 5;1;1T2z 3 2;19;;;;;;
boulder;Men;20;Yuji;Inoue;JPN;1995;5T5z 12 7;9;1T1z 2 2;20;;;;;;
boulder;Men;21;Mejdi;Schalck;FRA;2004;3T4z 7 5;21;;;;;;;;
boulder;Men;21;Kento;YAMAGUCHI;JPN;2002;3T5z 4 5;21;;;;;;;;
boulder;Men;23;Nimrod;Marcus;ISR;1999;3T5z 5 7;23;;;;;;;;
boulder;Men;23;Michael;Piccolruaz;ITA;1995;2T4z 2 6;23;;;;;;;;
boulder;Men;25;Zan;Lovenjak Sudar;SLO;1998;2T4z 4 5;25;;;;;;;;
boulder;Men;25;Max;Kleesattel;GER;1998;3T5z 5 9;25;;;;;;;;
boulder;Men;27;Nicolai;Uznik;AUT;2000;3T5z 5 12;27;;;;;;;;
boulder;Men;27;Nino;Grünenfelder;SUI;2001;2T4z 4 7;27;;;;;;;;
boulder;Men;29;Sascha;Lehmann;SUI;1998;2T3z 3 3;29;;;;;;;;
boulder;Men;29;Benjamin;Hanna;USA;1998;3T4z 3 4;29;;;;;;;;
boulder;Men;31;Satone;YOSHIDA;JPN;2004;3T4z 4 4;31;;;;;;;;
boulder;Men;31;Oscar;Baudrand;CAN;2005;2T3z 3 4;31;;;;;;;;
boulder;Men;33;William;Ridal;GBR;1997;2T3z 6 4;33;;;;;;;;
boulder;Men;33;Christopher;Cosser;RSA;2000;2T5z 3 9;33;;;;;;;;
boulder;Men;35;Victor;Baudrand;CAN;2003;1T5z 1 15;35;;;;;;;;
boulder;Men;35;Guy;McNamee;CAN;2002;2T4z 4 5;35;;;;;;;;
boulder;Men;37;Sean;McColl;CAN;1987;2T3z 3 3;37;;;;;;;;
boulder;Men;37;Charles;Barron;USA;1998;1T4z 1 8;37;;;;;;;;
