discipline;category;rank;firstname;lastname;country;yob;Qualification score;Qualification rank;Semi-final score;Semi-final rank;Final score;Final rank
boulder;Men;89;Nicolas;Salaberry;ARG;1997;0T1z 0 6;89;;;;
boulder;Men;89;Ignas;Kisielius;LTU;1997;0T0z 0 0;89;;;;
boulder;Men;96;Rodrigo;Iasi Hanada;BRA;2002;0T1z 0 10;96;;;;
boulder;Men;97;Rosen;Ruev;BUL;1998;0T0z 0 0;97;;;;
boulder;Men;97;Matias;OCHOA MARCOS;ARG;2001;0T0z 0 0;97;;;;
boulder;Men;97;Thomas;Waldin;NZL;2000;0T0z 0 0;97;;;;
boulder;Men;;Manuel;Cornu;FRA;1993;DNS;;;;;
boulder;Men;;Cheuk-hei;HO;HKG;1998;DNS;;;;;
boulder;Women;1;Natalia;Grossman;USA;2001;5T5z 5 5;1;4T4z 4 4;1;4T4z 6 5;1
boulder;Women;2;Hannah;Meul;GER;2001;5T5z 11 10;3;3T4z 4 4;3;4T4z 6 6;2
boulder;Women;3;ZHILU;LUO;CHN;2006;5T5z 7 6;3;3T4z 6 6;4;2T4z 5 9;3
boulder;Women;4;Miho;Nonaka;JPN;1997;3T5z 3 9;17;4T4z 5 5;2;1T4z 1 4;4
boulder;Women;5;Anon;Matsufuji;JPN;2003;4T5z 11 12;15;3T4z 6 9;6;1T3z 4 6;5
boulder;Women;6;Serika;Okawachi;JPN;1998;4T5z 5 5;5;3T4z 6 6;4;0T3z 0 8;6
boulder;Women;7;Jessica;Pilz;AUT;1996;4T5z 6 7;7;3T4z 7 7;7;;
boulder;Women;8;Futaba;Ito;JPN;2002;4T5z 6 10;10;3T4z 8 8;8;;
boulder;Women;9;Fanny;Gibert;FRA;1993;5T5z 6 5;1;3T3z 8 7;9;;
boulder;Women;10;Stasa;Gejo;SRB;1997;5T5z 9 8;7;2T4z 2 7;10;;
boulder;Women;11;Vita;Lukan;SLO;2000;5T5z 10 9;11;2T4z 3 7;11;;
boulder;Women;12;Ayala;Kerem;ISR;2001;4T5z 10 8;11;2T4z 4 5;12;;
boulder;Women;13;Franziska;Sterrer;AUT;1998;5T5z 9 8;7;2T3z 3 3;13;;
boulder;Women;14;Chaehyun;SEO;KOR;2003;5T5z 7 7;5;2T3z 3 5;14;;
boulder;Women;15;Petra;Klingler;SUI;1992;3T5z 4 6;19;2T3z 4 5;15;;
boulder;Women;16;Camilla;Moroni;ITA;2001;4T5z 13 10;15;2T2z 4 2;16;;
boulder;Women;17;Julija;Kruder;SLO;1997;3T5z 5 7;19;1T3z 1 11;17;;
boulder;Women;18;Oceania;Mackenzie;AUS;2002;4T5z 17 11;17;1T3z 2 6;18;;
boulder;Women;19;Cloe;Coscoy;USA;2001;4T5z 10 8;11;1T3z 2 8;19;;
boulder;Women;20;Holly;Toothill;GBR;2001;4T5z 12 11;14;1T3z 4 11;20;;
boulder;Women;21;Nanako;Kura;JPN;2000;3T5z 8 11;21;;;;
boulder;Women;21;Giorgia;Tesio;ITA;2000;3T5z 5 11;21;;;;
boulder;Women;23;Chloe;Caulier;BEL;1996;3T5z 7 9;23;;;;
