discipline;category;rank;firstname;lastname;country;yob;Qualification 1 score;Qualification 1 rank;Qualification 2 score;Qualification 2 rank;Qualification score;Qualification rank;Semi-Final score;Semi-Final rank;1/8 score;1/4 score;1/2 score;Small Final score;Final score;Final rank
speed;Men;20;Guillaume;Moro;FRA;1994;;;;;5.84;20;;;;;;;;
speed;Men;21;Yaroslav;Tkach;UKR;2001;;;;;5.85;21;;;;;;;;
speed;Men;22;Kostiantyn;Pavlenko;UKR;1998;;;;;5.86;22;;;;;;;;
speed;Men;23;Erik;Noya Cardona;ESP;1994;;;;;5.89;23;;;;;;;;
speed;Men;24;Aleksandr;Shilov;RUS;1994;;;;;5.90;24;;;;;;;;
speed;Men;25;Ludovico;Fossali;ITA;1997;;;;;5.94;25;;;;;;;;
speed;Men;26;Amir;Maimuratov;KAZ;1995;;;;;5.99;26;;;;;;;;
speed;Men;27;Tobias;Plangger;AUT;2001;;;;;6.05;27;;;;;;;;
speed;Men;28;Denis;Karpikov;RUS;1998;;;;;6.09;28;;;;;;;;
speed;Men;29;Leander;Carmanns;GER;2004;;;;;6.14;29;;;;;;;;
speed;Men;30;Hajime;Takeda;JPN;2002;;;;;6.26;30;;;;;;;;
speed;Men;31;Alberto;Ginés López;ESP;2002;;;;;6.29;31;;;;;;;;
speed;Men;32;Lukas;Knapp;AUT;1997;;;;;6.30;32;;;;;;;;
speed;Men;33;Linus;Bader;GER;2002;;;;;6.31;33;;;;;;;;
speed;Men;34;Joe;Goodacre;USA;2001;;;;;6.32;34;;;;;;;;
speed;Men;35;Beknur;Altynbekov;KAZ;2002;;;;;6.33;35;;;;;;;;
speed;Men;36;Jan;Kriz;CZE;1996;;;;;6.41;36;;;;;;;;
speed;Men;37;Colin;Duffy;USA;2003;;;;;6.46;37;;;;;;;;
speed;Men;38;Iaroslav;PASHKOV;RUS;2002;;;;;6.54;38;;;;;;;;
speed;Men;39;Alisher;Murat;KAZ;1997;;;;;6.601;39;;;;;;;;
speed;Men;40;Mohsen;Shafiei;IRI;1989;;;;;6.606;40;;;;;;;;
speed;Men;41;Unax;Uterga Flamarique;ESP;2003;;;;;6.69;41;;;;;;;;
speed;Men;42;Michael;Piccolruaz;ITA;1995;;;;;6.70;42;;;;;;;;
speed;Men;43;Bohdan;Botnar;UKR;2001;;;;;6.72;43;;;;;;;;
speed;Men;44;Ethan;Pitcher;CAN;2001;;;;;6.86;44;;;;;;;;
speed;Men;45;Nathaniel;Coleman;USA;1997;;;;;6.92;45;;;;;;;;
speed;Men;46;Alejandro;Rivas Domínguez;ESP;2001;;;;;7.03;46;;;;;;;;
speed;Men;47;Alessandro;Cingari;ITA;1999;;;;;7.28;47;;;;;;;;
speed;Men;48;Alessandro;Boulos;ITA;1994;;;;;7.49;48;;;;;;;;
speed;Men;49;Alexander;Megos;GER;1993;;;;;7.91;49;;;;;;;;
speed;Men;50;Christian;Wagner;CHI;2002;;;;;8.38;50;;;;;;;;
speed;Men;51;Jun;YASUKAWA;JPN;2003;;;;;8.58;51;;;;;;;;
speed;Men;;Sebastian;Lucke;GER;2002;;;;;DNS;;;;;;;;;
speed;Men;;Munekazu;KITAMI;JPN;1992;;;;;DNS;;;;;;;;;
speed;Women;1;Ekaterina;Barashchuk;RUS;1999;;;;;7.61;7;;;7.59;7.28;7.30;;7.30;1
speed;Women;2;Iuliia;Kaplina;RUS;1993;;;;;7.01;1;;;7.31;7.17;7.17;;8.39;2
speed;Women;3;Patrycja;Chudziak;POL;1997;;;;;7.56;6;;;7.60;7.42;7.50;7.73;;3
speed;Women;4;DESAK;MADE RITA KUSUMA DEWI;INA;2001;;;;;7.34;4;;;7.33;7.02;FALL;10.38;;4
speed;Women;5;Emma;Hunt;USA;2003;;;;;7.72;8;;;7.43;7.19;;;;5
